"","Species","LandcoverNA","avg_use","avail","avg_pref","sd_use","sd_pref"
"25","BOUM","Grassland",0.718869680851064,0.62,1.15946722717914,2.73013018697909,4.40343578545015
"26","BOUM","Mixed forest",31.6216622340426,21.37,1.4797221447844,24.0623446901369,1.12598711699284
"27","BOUM","Shrubland",2.16784574468085,1.31,1.65484407990905,5.12997692611366,3.91601292069745
"28","BOUM","Urban/built-up",5.25472074468085,6.25,0.840755319148936,9.91739141031021,1.58678262564963
"29","BOUM","Water",8.03956117021277,7.77,1.03469255729894,17.0702834960466,2.19694768288888
"30","BOUM","Wetland",3.60658244680851,4.82,0.748253619669815,10.4234373007325,2.16253885907313
"31","ERDO","Barren land",2.31490424646128,0.9,2.57211582940142,5.78188913865157,6.42432126516841
"32","ERDO","Conifer forest",7.41017485428809,6.85,1.08177735099096,11.8330035727508,1.72744577704392
"33","ERDO","Cropland",10.4936303080766,20.42,0.513889828994936,20.1650087604712,0.987512671913379
"34","ERDO","Deciduous forest",38.1359783513739,29.69,1.28447215733829,25.1495725721704,0.847072164775021
"35","ERDO","Grassland",0.925728559533722,0.62,1.4931105798931,2.9733663284105,4.79575214259758
"36","ERDO","Mixed forest",20.1034887593672,21.37,0.940734148777126,18.8910352346048,0.883997905222501
"37","ERDO","Shrubland",4.18021648626145,1.31,3.19100495134462,6.73688545395877,5.14266065187693
"38","ERDO","Urban/built-up",4.83473771856786,6.25,0.773558034970858,8.91283663891493,1.42605386222639
"39","ERDO","Water",7.75341382181515,7.77,0.997865356732967,16.906764464836,2.17590276252716
"40","ERDO","Wetland",3.84787676935887,4.82,0.798314682439599,9.23235030954388,1.91542537542404
"41","PEPE","Barren land",1.71289215686275,0.9,1.90321350762527,2.29015904904305,2.54462116560339
"42","PEPE","Conifer forest",5.60884803921569,6.85,0.818809932732217,7.55009295199276,1.10220335065588
"43","PEPE","Cropland",18.5173039215686,20.42,0.906821935434311,17.977175853881,0.880371001659204
"44","PEPE","Deciduous forest",28.2298284313725,29.69,0.950819415000759,17.0289321145843,0.573557834778858
"45","PEPE","Grassland",0.708357843137255,0.62,1.14251265022138,0.966196982366641,1.55838222962361
"46","PEPE","Mixed forest",17.9606862745098,21.37,0.840462623982677,15.183738667436,0.710516549716237
"47","PEPE","Shrubland",1.82411764705882,1.31,1.39245621912887,2.49781323641543,1.90672766138583
"48","PEPE","Urban/built-up",12.1262745098039,6.25,1.94020392156863,15.8295586210027,2.53272937936043
"49","PEPE","Water",9.59656862745098,7.77,1.23507961743256,13.477634416855,1.73457328402252
"50","PEPE","Wetland",3.71495098039216,4.82,0.770736717923684,4.98590406141459,1.03441992975406
"51","SCMI","Barren land",4.40497142857143,0.9,4.8944126984127,14.1161342789709,15.684593643301
"52","SCMI","Conifer forest",4.92057142857143,6.85,0.718331595411887,14.7783343171291,2.15742106819402
"53","SCMI","Cropland",26.8742857142857,20.42,1.31607667552819,35.9931962189499,1.76264428104554
"54","SCMI","Deciduous forest",28.1037142857143,29.69,0.946571717268922,31.0834220410168,1.04693236918211
"55","SCMI","Grassland",1.91908571428571,0.62,3.09529953917051,7.46051809151082,12.0330936959852
"56","SCMI","Mixed forest",16.1285714285714,21.37,0.754729594224213,23.8375455014492,1.11546773521054
"57","SCMI","Shrubland",2.80582857142857,1.31,2.14185387131952,9.52961260530694,7.2745134391656
"58","SCMI","Urban/built-up",5.68908571428571,6.25,0.910253714285714,18.4912935483246,2.95860696773194
"59","SCMI","Water",4.67542857142857,7.77,0.601728258871116,16.6643347120649,2.14470202214477
"60","SCMI","Wetland",4.47874285714286,4.82,0.929199762892709,10.8217172356216,2.24516955095885
"61","STVA","Barren land",2.55165055762082,0.9,2.83516728624535,4.27690617623291,4.75211797359212
"62","STVA","Conifer forest",4.18496654275093,6.85,0.610944020839552,6.47562810795069,0.945347169043896
"63","STVA","Cropland",17.3419776951673,20.42,0.849264333749622,21.3048528338108,1.0433326559163
"64","STVA","Deciduous forest",25.4903420074349,29.69,0.858549747640113,19.7198913967197,0.664193041317606
"65","STVA","Grassland",1.69725650557621,0.62,2.73751049286485,4.55089023346453,7.34014553784602
"66","STVA","Mixed forest",14.5204907063197,21.37,0.6794801453589,14.2977079434992,0.669055121361684
"67","STVA","Shrubland",1.66034200743494,1.31,1.2674366468969,2.46983022519306,1.88536658411684
"68","STVA","Urban/built-up",16.3683643122677,6.25,2.61893828996283,20.4414399835798,3.27063039737278
"69","STVA","Water",12.2669516728625,7.77,1.57875825905566,20.013977978161,2.57580154159086
"70","STVA","Wetland",3.91813382899628,4.82,0.812890835891345,7.05809535087735,1.46433513503679
"71","PLCI","Barren land",3.41,0.9,3.78888888888889,NA,NA
"72","PLCI","Conifer forest",3.41,6.85,0.497810218978102,NA,NA
"73","PLCI","Cropland",5.11,20.42,0.25024485798237,NA,NA
"74","PLCI","Deciduous forest",42.05,29.69,1.41630178511283,NA,NA
"75","PLCI","Grassland",0.57,0.62,0.919354838709677,NA,NA
"76","PLCI","Mixed forest",28.98,21.37,1.35610669162377,NA,NA
"77","PLCI","Shrubland",1.14,1.31,0.870229007633588,NA,NA
"78","PLCI","Urban/built-up",5.11,6.25,0.8176,NA,NA
"79","PLCI","Water",5.11,7.77,0.657657657657658,NA,NA
"80","PLCI","Wetland",5.11,4.82,1.06016597510373,NA,NA
