Field1,VALUE,Count,Area
7,23,245.00000000000,209884.83017600000
7,24,11.00000000000,9423.40053851000
7,34,1.00000000000,856.67277622800
7,36,1.00000000000,856.67277622800
7,40,2.00000000000,1713.34555246000
7,45,1.00000000000,856.67277622800
7,48,1.00000000000,856.67277622800
7,56,1.00000000000,856.67277622800
7,71,1.00000000000,856.67277622800
7,72,1.00000000000,856.67277622800
7,78,1.00000000000,856.67277622800
7,85,1.00000000000,856.67277622800
7,95,1.00000000000,856.67277622800
7,101,10.00000000000,8566.72776228000
9,0,739.00000000000,633081.18163300000
9,1,62.00000000000,53113.71212620000
9,2,40.00000000000,34266.91104910000
9,3,41.00000000000,35123.58382540000
9,4,38.00000000000,32553.56549670000
9,5,35.00000000000,29983.54716800000
9,6,30.00000000000,25700.18328690000
9,7,25.00000000000,21416.81940570000
9,8,24.00000000000,20560.14662950000
9,9,29.00000000000,24843.51051060000
9,10,20.00000000000,17133.45552460000
9,11,23.00000000000,19703.47385330000
9,12,28.00000000000,23986.83773440000
9,13,35.00000000000,29983.54716800000
9,14,37.00000000000,31696.89272050000
9,15,76.00000000000,65107.13099340000
9,16,329.00000000000,281845.34337900000
9,17,490.00000000000,419769.66035200000
9,18,1017.00000000000,871236.21342400000
9,19,1422.00000000000,1218188.68780000000
9,20,686.00000000000,587677.52449300000
9,21,152.00000000000,130214.26198700000
9,22,34.00000000000,29126.87439180000
9,23,11.00000000000,9423.40053851000
10,0,344.00000000000,294695.43502300000
10,1,90.00000000000,77100.54986060000
10,2,72.00000000000,61680.43988840000
10,3,99.00000000000,84810.60484660000
10,4,120.00000000000,102800.73314700000
10,5,103.00000000000,88237.29595150000
10,6,94.00000000000,80527.24096550000
10,7,76.00000000000,65107.13099340000
10,8,79.00000000000,67677.14932200000
10,9,90.00000000000,77100.54986060000
10,10,102.00000000000,87380.62317530000
10,11,138.00000000000,118220.84312000000
10,12,115.00000000000,98517.36926630000
10,13,126.00000000000,107940.76980500000
10,14,147.00000000000,125930.89810600000
10,15,190.00000000000,162767.82748300000
10,16,217.00000000000,185897.99244200000
10,17,216.00000000000,185041.31966500000
10,18,325.00000000000,278418.65227400000
10,19,453.00000000000,388072.76763100000
10,20,446.00000000000,382076.05819800000
10,21,536.00000000000,459176.60805800000
10,22,879.00000000000,753015.37030500000
10,23,336.00000000000,287842.05281300000
10,24,18.00000000000,15420.10997210000
10,25,8.00000000000,6853.38220983000
10,26,4.00000000000,3426.69110491000
10,27,1.00000000000,856.67277622800
10,30,1.00000000000,856.67277622800
10,62,1.00000000000,856.67277622800
10,69,1.00000000000,856.67277622800
10,101,1.00000000000,856.67277622800
11,0,374.00000000000,320395.61830900000
11,1,102.00000000000,87380.62317530000
11,2,78.00000000000,66820.47654580000
11,3,70.00000000000,59967.09433600000
11,4,100.00000000000,85667.27762280000
11,5,90.00000000000,77100.54986060000
11,6,102.00000000000,87380.62317530000
11,7,113.00000000000,96804.02371380000
11,8,105.00000000000,89950.64150400000
11,9,98.00000000000,83953.93207040000
11,10,119.00000000000,101944.06037100000
11,11,142.00000000000,121647.53422400000
11,12,163.00000000000,139637.66252500000
11,13,208.00000000000,178187.93745600000
11,14,183.00000000000,156771.11805000000
11,15,235.00000000000,201318.10241400000
11,16,257.00000000000,220164.90349100000
11,17,271.00000000000,232158.32235800000
11,18,366.00000000000,313542.23610000000
11,19,405.00000000000,346952.47437300000
11,20,633.00000000000,542273.86735300000
11,21,598.00000000000,512290.32018500000
11,22,436.00000000000,373509.33043600000
11,23,71.00000000000,60823.76711220000
11,24,6.00000000000,5140.03665737000
11,25,1.00000000000,856.67277622800
11,26,1.00000000000,856.67277622800
11,28,2.00000000000,1713.34555246000
11,29,1.00000000000,856.67277622800
11,40,1.00000000000,856.67277622800
11,41,1.00000000000,856.67277622800
11,45,1.00000000000,856.67277622800
11,46,1.00000000000,856.67277622800
11,48,1.00000000000,856.67277622800
11,54,1.00000000000,856.67277622800
11,56,1.00000000000,856.67277622800
11,57,1.00000000000,856.67277622800
11,62,1.00000000000,856.67277622800
11,66,1.00000000000,856.67277622800
11,68,1.00000000000,856.67277622800
11,74,1.00000000000,856.67277622800
11,75,1.00000000000,856.67277622800
11,76,1.00000000000,856.67277622800
11,83,1.00000000000,856.67277622800
11,84,1.00000000000,856.67277622800
11,85,1.00000000000,856.67277622800
11,86,1.00000000000,856.67277622800
11,87,1.00000000000,856.67277622800
11,89,1.00000000000,856.67277622800
11,98,1.00000000000,856.67277622800
11,100,1.00000000000,856.67277622800
