OID_,Field1,Value,Count,Area
147,4521,2,1.000000000000000,856.672776228433122
148,4553,1,1.000000000000000,856.672776228433122
149,4577,0,1.000000000000000,856.672776228433122
150,4584,1,1.000000000000000,856.672776228433122
151,4593,2,1.000000000000000,856.672776228433122
152,4606,1,1.000000000000000,856.672776228433122
153,4616,2,1.000000000000000,856.672776228433122
154,4639,0,1.000000000000000,856.672776228433122
155,4641,1,1.000000000000000,856.672776228433122
156,4733,1,1.000000000000000,856.672776228433122
157,4757,2,1.000000000000000,856.672776228433122
158,4807,2,1.000000000000000,856.672776228433122
159,4809,1,1.000000000000000,856.672776228433122
160,4872,1,1.000000000000000,856.672776228433122
161,4874,1,1.000000000000000,856.672776228433122
162,4913,2,1.000000000000000,856.672776228433122
163,4937,2,1.000000000000000,856.672776228433122
164,4973,1,1.000000000000000,856.672776228433122
165,4997,2,1.000000000000000,856.672776228433122
