"","OID_","OBJECTID_1","Value","Count","Area"
"340",340,109,15,37,33300
"341",341,109,17,11,9900
"342",342,110,5,4,3600
"343",343,110,6,32,28800
"344",344,110,17,12,10800
"345",345,111,5,4,3600
"346",346,111,6,32,28800
"347",347,111,17,12,10800
"348",348,112,5,4,3600
"349",349,112,6,32,28800
"350",350,112,17,12,10800
"351",351,113,5,4,3600
"352",352,113,6,32,28800
"353",353,113,17,12,10800
"354",354,114,5,4,3600
"355",355,114,6,32,28800
"356",356,114,17,12,10800
"357",357,115,5,4,3600
"358",358,115,6,32,28800
"359",359,115,17,12,10800
"360",360,116,5,4,3600
"361",361,116,6,32,28800
"362",362,116,17,12,10800
"363",363,117,5,3,2700
"364",364,117,6,42,37800
"365",365,118,1,31,27900
"366",366,118,5,6,5400
"367",367,118,8,10,9000
"368",368,119,5,35,31500
"369",369,119,6,9,8100
"370",370,120,1,20,18000
"371",371,120,5,9,8100
"372",372,120,6,1,900
"373",373,120,10,5,4500
"374",374,120,17,11,9900
"375",375,121,5,15,13500
"376",376,121,6,29,26100
"377",377,122,5,4,3600
"378",378,122,6,32,28800
"379",379,122,17,12,10800
"380",380,123,5,4,3600
"381",381,123,6,32,28800
"382",382,123,17,12,10800
"383",383,124,5,4,3600
"384",384,124,6,32,28800
"385",385,124,17,12,10800
"386",386,125,5,4,3600
"387",387,125,6,32,28800
"388",388,125,17,12,10800
"389",389,126,5,4,3600
"390",390,126,6,32,28800
"391",391,126,17,12,10800
"392",392,127,5,4,3600
"393",393,127,6,32,28800
"394",394,127,17,12,10800
"395",395,128,5,4,3600
"396",396,128,6,32,28800
"397",397,128,17,12,10800
"398",398,129,5,4,3600
"399",399,129,6,32,28800
"400",400,129,17,12,10800
"401",401,130,5,4,3600
"402",402,130,6,32,28800
"403",403,130,17,12,10800
"404",404,131,5,4,3600
"405",405,131,6,32,28800
"406",406,131,17,12,10800
"407",407,132,1,7,6300
"408",408,132,5,2,1800
"409",409,132,6,8,7200
"410",410,132,15,21,18900
"411",411,132,17,7,6300
"412",412,133,5,44,39600
"413",413,134,5,4,3600
"414",414,134,6,32,28800
"415",415,134,17,12,10800
"416",416,135,5,4,3600
"417",417,135,6,32,28800
"418",418,135,17,12,10800
"419",419,136,5,4,3600
"420",420,136,6,32,28800
"421",421,136,17,12,10800
"422",422,137,5,4,3600
"423",423,137,6,32,28800
"424",424,137,17,12,10800
"425",425,138,5,11,9900
"426",426,138,6,1,900
"427",427,138,15,23,20700
"428",428,138,17,9,8100
"429",429,139,5,37,33300
"430",430,139,6,4,3600
"431",431,139,17,7,6300
"432",432,140,1,5,4500
"433",433,140,5,8,7200
"434",434,140,6,32,28800
"435",435,141,5,1,900
"436",436,141,6,19,17100
"437",437,141,10,12,10800
"438",438,141,16,2,1800
"439",439,141,17,11,9900
"440",440,142,5,4,3600
"441",441,142,6,32,28800
"442",442,142,17,12,10800
"443",443,143,1,23,20700
"444",444,143,5,5,4500
"445",445,143,6,1,900
"446",446,143,15,19,17100
"447",447,144,1,11,9900
"448",448,144,5,23,20700
"449",449,144,17,10,9000
"450",450,145,5,4,3600
"451",451,145,6,32,28800
"452",452,145,17,12,10800
"453",453,146,5,4,3600
"454",454,146,6,32,28800
"455",455,146,17,12,10800
"456",456,147,6,44,39600
"457",457,148,5,4,3600
"458",458,148,6,32,28800
"459",459,148,17,12,10800
"460",460,149,5,4,3600
"461",461,149,6,32,28800
"462",462,149,17,12,10800
"463",463,150,1,9,8100
"464",464,150,6,19,17100
"465",465,150,14,19,17100
"466",466,151,1,2,1800
"467",467,151,5,3,2700
"468",468,151,15,35,31500
"469",469,151,17,8,7200
"470",470,152,5,4,3600
"471",471,152,6,32,28800
"472",472,152,17,12,10800
"473",473,153,5,4,3600
"474",474,153,6,32,28800
"475",475,153,17,12,10800
"476",476,154,5,4,3600
"477",477,154,6,32,28800
"478",478,154,17,12,10800
"479",479,155,5,4,3600
"480",480,155,6,32,28800
"481",481,155,17,12,10800
"482",482,156,5,4,3600
"483",483,156,6,32,28800
"484",484,156,17,12,10800
"485",485,157,5,4,3600
"486",486,157,6,32,28800
"487",487,157,17,12,10800
"488",488,158,5,4,3600
"489",489,158,6,32,28800
"490",490,158,17,12,10800
"491",491,159,1,7,6300
"492",492,159,5,6,5400
"493",493,159,6,35,31500
"494",494,160,1,2,1800
"495",495,160,5,3,2700
"496",496,160,15,35,31500
"497",497,160,17,8,7200
"498",498,161,1,2,1800
"499",499,161,5,3,2700
"500",500,161,15,35,31500
"501",501,161,17,8,7200
"502",502,162,1,2,1800
"503",503,162,5,3,2700
"504",504,162,15,35,31500
"505",505,162,17,8,7200
"506",506,163,1,2,1800
"507",507,163,5,3,2700
"508",508,163,15,35,31500
"509",509,163,17,8,7200
"510",510,164,5,4,3600
"511",511,164,6,32,28800
"512",512,164,17,12,10800
"513",513,165,5,4,3600
"514",514,165,6,32,28800
"515",515,165,17,12,10800
"516",516,166,5,17,15300
"517",517,166,6,27,24300
"518",518,167,5,9,8100
"519",519,167,17,34,30600
"520",520,167,18,1,900
"521",521,168,5,5,4500
"522",522,168,6,39,35100
"523",523,169,5,4,3600
"524",524,169,6,32,28800
"525",525,169,17,12,10800
"526",526,170,5,4,3600
"527",527,170,6,32,28800
"528",528,170,17,12,10800
"529",529,171,5,4,3600
"530",530,171,6,32,28800
"531",531,171,17,12,10800
"532",532,172,5,4,3600
"533",533,172,6,32,28800
"534",534,172,17,12,10800
"535",535,173,5,4,3600
"536",536,173,6,32,28800
"537",537,173,17,12,10800
"538",538,174,5,4,3600
"539",539,174,6,32,28800
"540",540,174,17,12,10800
"541",541,175,5,4,3600
"542",542,175,6,32,28800
"543",543,175,17,12,10800
"544",544,176,5,4,3600
"545",545,176,6,32,28800
"546",546,176,17,12,10800
"547",547,177,5,4,3600
"548",548,177,6,32,28800
"549",549,177,17,12,10800
"550",550,178,5,4,3600
"551",551,178,6,32,28800
"552",552,178,17,12,10800
"553",553,179,5,4,3600
"554",554,179,6,32,28800
"555",555,179,17,12,10800
"556",556,180,5,4,3600
"557",557,180,6,32,28800
"558",558,180,17,12,10800
"559",559,181,5,4,3600
"560",560,181,6,32,28800
"561",561,181,17,12,10800
"562",562,182,1,34,30600
"563",563,182,14,1,900
"564",564,182,17,11,9900
"565",565,183,5,3,2700
"566",566,183,6,3,2700
"567",567,183,15,30,27000
"568",568,183,17,11,9900
"569",569,184,5,20,18000
"570",570,184,6,7,6300
"571",571,184,15,18,16200
"572",572,185,5,18,16200
"573",573,185,6,19,17100
"574",574,185,18,8,7200
"575",575,186,5,20,18000
"576",576,186,6,15,13500
"577",577,186,17,10,9000
"578",578,187,5,4,3600
"579",579,187,6,40,36000
"580",580,188,5,4,3600
"581",581,188,6,32,28800
"582",582,188,17,12,10800
"583",583,189,1,2,1800
"584",584,189,5,22,19800
"585",585,189,6,11,9900
"586",586,189,8,13,11700
"587",587,190,5,4,3600
"588",588,190,6,32,28800
"589",589,190,17,12,10800
"590",590,191,5,4,3600
"591",591,191,6,32,28800
"592",592,191,17,12,10800
"593",593,192,5,4,3600
"594",594,192,6,32,28800
"595",595,192,17,12,10800
"596",596,193,5,23,20700
"597",597,193,6,5,4500
"598",598,193,10,5,4500
"599",599,193,14,1,900
"600",600,193,16,6,5400
"601",601,193,17,8,7200
"602",602,194,5,30,27000
"603",603,194,17,12,10800
"604",604,194,18,1,900
"605",605,195,1,10,9000
"606",606,195,5,5,4500
"607",607,195,6,22,19800
"608",608,195,18,7,6300
"609",609,196,5,40,36000
"610",610,196,17,4,3600
"611",611,197,5,20,18000
"612",612,197,6,21,18900
"613",613,197,18,3,2700
"614",614,198,1,16,14400
"615",615,198,5,3,2700
"616",616,198,6,10,9000
"617",617,198,15,9,8100
"618",618,198,17,10,9000
"619",619,199,5,4,3600
"620",620,199,6,32,28800
"621",621,199,17,12,10800
"622",622,200,5,4,3600
"623",623,200,6,32,28800
"624",624,200,17,12,10800
"625",625,201,1,11,9900
"626",626,201,6,5,4500
"627",627,201,17,28,25200
"628",628,202,5,12,10800
"629",629,202,6,12,10800
"630",630,202,15,20,18000
"631",631,203,5,4,3600
"632",632,203,6,32,28800
"633",633,203,17,12,10800
"634",634,204,5,4,3600
"635",635,204,6,32,28800
"636",636,204,17,12,10800
"637",637,205,5,4,3600
"638",638,205,6,32,28800
"639",639,205,17,12,10800
"640",640,207,5,4,3600
"641",641,207,6,32,28800
"642",642,207,17,12,10800
"643",643,208,5,4,3600
"644",644,208,6,32,28800
"645",645,208,17,12,10800
"646",646,209,5,4,3600
"647",647,209,6,32,28800
"648",648,209,17,12,10800
"649",649,210,1,2,1800
"650",650,210,5,23,20700
"651",651,210,6,17,15300
"652",652,210,14,3,2700
"653",653,211,5,4,3600
"654",654,211,6,32,28800
"655",655,211,17,12,10800
"656",656,212,5,1,900
"657",657,212,8,19,17100
"658",658,212,15,14,12600
"659",659,212,17,11,9900
"660",660,213,5,4,3600
"661",661,213,6,32,28800
"662",662,213,17,12,10800
"663",663,214,5,4,3600
"664",664,214,6,32,28800
"665",665,214,17,12,10800
"666",666,215,5,4,3600
"667",667,215,6,32,28800
"668",668,215,17,12,10800
"669",669,216,6,44,39600
"670",670,217,5,4,3600
"671",671,217,6,32,28800
"672",672,217,17,12,10800
"673",673,218,5,4,3600
"674",674,218,6,32,28800
"675",675,218,17,12,10800
"676",676,219,1,6,5400
"677",677,219,5,14,12600
"678",678,219,6,8,7200
"679",679,219,18,17,15300
"680",680,220,5,4,3600
"681",681,220,6,32,28800
"682",682,220,17,12,10800
"683",683,221,5,4,3600
"684",684,221,6,32,28800
"685",685,221,17,12,10800
"686",686,222,5,4,3600
"687",687,222,6,32,28800
"688",688,222,17,12,10800
"689",689,223,5,18,16200
"690",690,223,10,4,3600
"691",691,223,17,23,20700
"692",692,224,5,4,3600
"693",693,224,6,32,28800
"694",694,224,17,12,10800
"695",695,225,5,4,3600
"696",696,225,6,32,28800
"697",697,225,17,12,10800
"698",698,226,6,16,14400
"699",699,226,8,4,3600
"700",700,226,17,10,9000
"701",701,226,18,15,13500
"702",702,227,5,4,3600
"703",703,227,6,32,28800
"704",704,227,17,12,10800
"705",705,228,5,26,23400
"706",706,228,6,20,18000
"707",707,228,15,2,1800
"708",708,229,5,4,3600
"709",709,229,6,32,28800
"710",710,229,17,12,10800
"711",711,230,5,4,3600
"712",712,230,6,32,28800
"713",713,230,17,12,10800
"714",714,231,15,32,28800
"715",715,231,17,11,9900
"716",716,232,5,4,3600
"717",717,232,6,32,28800
"718",718,232,17,12,10800
"719",719,233,5,4,3600
"720",720,233,6,32,28800
"721",721,233,17,12,10800
"722",722,234,5,9,8100
"723",723,234,6,29,26100
"724",724,234,17,10,9000
"725",725,235,5,4,3600
"726",726,235,6,32,28800
"727",727,235,17,12,10800
"728",728,236,5,4,3600
"729",729,236,6,32,28800
"730",730,236,17,12,10800
